"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Taxa_mil_hab","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Taxa per mil habitants","83.2"
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Taxa per mil habitants","128.3"
2020,1,"Ciutat Vella",3,"la Barceloneta","Taxa per mil habitants","87.2"
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Taxa per mil habitants","89.1"
2020,2,"Eixample",5,"el Fort Pienc","Taxa per mil habitants","56.1"
2020,2,"Eixample",6,"la Sagrada Família","Taxa per mil habitants","53.8"
2020,2,"Eixample",7,"la Dreta de l'Eixample","Taxa per mil habitants","65.1"
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Taxa per mil habitants","60.4"
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Taxa per mil habitants","49.1"
2020,2,"Eixample",10,"Sant Antoni","Taxa per mil habitants","48.6"
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Taxa per mil habitants","57.3"
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Taxa per mil habitants","26.1"
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Taxa per mil habitants","33.2"
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Taxa per mil habitants","46.0"
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Taxa per mil habitants","55.6"
2020,3,"Sants-Montjuïc",16,"la Bordeta","Taxa per mil habitants","39.0"
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Taxa per mil habitants","50.4"
2020,3,"Sants-Montjuïc",18,"Sants","Taxa per mil habitants","57.2"
2020,4,"Les Corts",19,"les Corts","Taxa per mil habitants","34.1"
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Taxa per mil habitants","43.3"
2020,4,"Les Corts",21,"Pedralbes","Taxa per mil habitants","42.8"
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Taxa per mil habitants","28.5"
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Taxa per mil habitants","32.9"
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Taxa per mil habitants","29.8"
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Taxa per mil habitants","34.0"
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Taxa per mil habitants","35.0"
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Taxa per mil habitants","35.2"
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Taxa per mil habitants","37.6"
2020,6,"Gràcia",29,"el Coll","Taxa per mil habitants","43.5"
2020,6,"Gràcia",30,"la Salut","Taxa per mil habitants","38.6"
2020,6,"Gràcia",31,"la Vila de Gràcia","Taxa per mil habitants","50.9"
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Taxa per mil habitants","39.9"
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Taxa per mil habitants","36.3"
2020,7,"Horta-Guinardó",34,"Can Baró","Taxa per mil habitants","33.5"
2020,7,"Horta-Guinardó",35,"el Guinardó","Taxa per mil habitants","33.5"
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Taxa per mil habitants","19.3"
2020,7,"Horta-Guinardó",37,"el Carmel","Taxa per mil habitants","37.9"
2020,7,"Horta-Guinardó",38,"la Teixonera","Taxa per mil habitants","40.6"
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Taxa per mil habitants","37.3"
2020,7,"Horta-Guinardó",40,"Montbau","Taxa per mil habitants","40.9"
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Taxa per mil habitants","28.7"
2020,7,"Horta-Guinardó",42,"la Clota","Taxa per mil habitants","31.2"
2020,7,"Horta-Guinardó",43,"Horta","Taxa per mil habitants","39.7"
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Taxa per mil habitants","31.8"
2020,8,"Nou Barris",45,"Porta","Taxa per mil habitants","47.9"
2020,8,"Nou Barris",46,"el Turó de la Peira","Taxa per mil habitants","38.7"
2020,8,"Nou Barris",47,"Can Peguera","Taxa per mil habitants","10.6"
2020,8,"Nou Barris",48,"la Guineueta","Taxa per mil habitants","21.7"
2020,8,"Nou Barris",49,"Canyelles","Taxa per mil habitants","15.1"
2020,8,"Nou Barris",50,"les Roquetes","Taxa per mil habitants","40.6"
2020,8,"Nou Barris",51,"Verdun","Taxa per mil habitants","41.8"
2020,8,"Nou Barris",52,"la Prosperitat","Taxa per mil habitants","32.0"
